event_id,event_date,landslide_category,landslide_trigger,landslide_size,admin_division_population,gazeteer_distance,longitude,latitude,fatality_count,injury_count
64,4/20/2007 0:00,landslide,rain,small,6903,0.23715,-82.5186,37.4814,,
10044,11/15/2016 15:00,mudslide,rain,small,,,174.735459,-41.335096,0,0
1205,10/1/2009 0:00,mudslide,downpour,large,219948,0.5465,15.5445,38.196,28,
7700,8/19/2015 11:49,rock_fall,unknown,medium,,,-121.7714,46.8391,0,0
3674,6/29/2011 0:00,landslide,downpour,large,2571,24.40704,79.0193,30.0667,10,
2794,12/8/2010 0:00,landslide,downpour,medium,1310,1.8033,-79.6961,9.2332,0,
3606,6/14/2011 0:00,landslide,downpour,small,0,4.72263,119.7975,29.1935,0,
4707,1/9/2013 0:00,landslide,rain,medium,8413,4.33508,-122.7756,48.9511,,
5572,10/5/2013 14:15,landslide,rain,small,7094,2.21667,98.3138,7.8347,0,
4738,1/28/2013 0:00,landslide,downpour,very_large,0,12.63831,104.8805,27.344,,
8248,12/22/2014 8:21,landslide,unknown,unknown,3205,27.24973,-122.16,43.6359,0,0
1731,4/6/2010 0:00,landslide,downpour,medium,456456,11.94694,-43.0252,-22.9631,0,
3069,1/29/2011 8:00,landslide,tropical_cyclone,medium,1083,8.13076,176.5249,-37.7239,0,
6685,10/12/2014 0:00,landslide,rain,medium,5773,8.8321,-89.4691,14.0007,3,2
